Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.43  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Pulse,Off
TempUnit,C
Sampling interval,20ms
Total data points,40943     
Trigger,0         
Start time,2025-08-17,13:11:22
End time,2025-08-17,13:25:01
Trigger time,2025-08-17,13:11:22
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH5," CH 5","M",DC,2V,,Off,+50.00,-50.00,[A],28,16,2,0
CH6," CH 6","M",DC,100V,,Off,+50.00,-50.00,[V],5,23,30,0
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line Width
Pulse1,COUNT,L,,500000,0,[C],28,5,6,0
Pulse2,OFF,H,,500000,0,[],0,13,23,0
Pulse3,OFF,H,,500000,0,[],9,22,8,0
Pulse4,OFF,H,,500000,0,[],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH5,CH6,Pulse1,Alarm1-10,AlarmLogic/Pulse,AlarmOut
NO.,Time,ms,"A","V","C","A1234567890","ALP1-4","AO1234"
         1,2025/08/17 13:11:22,  0,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
         2,2025/08/17 13:11:22, 20,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
         3,2025/08/17 13:11:22, 40,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
         4,2025/08/17 13:11:22, 60,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
         5,2025/08/17 13:11:22, 80,+  0.34,+ 49.59,        0,LLLLLLLLLL,LLLL,LLLL
         6,2025/08/17 13:11:22,100,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
         7,2025/08/17 13:11:22,120,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
         8,2025/08/17 13:11:22,140,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
         9,2025/08/17 13:11:22,160,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        10,2025/08/17 13:11:22,180,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        11,2025/08/17 13:11:22,200,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        12,2025/08/17 13:11:22,220,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        13,2025/08/17 13:11:22,240,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        14,2025/08/17 13:11:22,260,+  0.35,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        15,2025/08/17 13:11:22,280,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        16,2025/08/17 13:11:22,300,+  0.34,+ 49.59,        0,LLLLLLLLLL,LLLL,LLLL
        17,2025/08/17 13:11:22,320,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        18,2025/08/17 13:11:22,340,+  0.35,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        19,2025/08/17 13:11:22,360,+  0.35,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        20,2025/08/17 13:11:22,380,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        21,2025/08/17 13:11:22,400,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        22,2025/08/17 13:11:22,420,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        23,2025/08/17 13:11:22,440,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        24,2025/08/17 13:11:22,460,+  0.35,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        25,2025/08/17 13:11:22,480,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        26,2025/08/17 13:11:22,500,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        27,2025/08/17 13:11:22,520,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        28,2025/08/17 13:11:22,540,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        29,2025/08/17 13:11:22,560,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        30,2025/08/17 13:11:22,580,+  0.34,+ 49.59,        0,LLLLLLLLLL,LLLL,LLLL
        31,2025/08/17 13:11:22,600,+  0.35,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        32,2025/08/17 13:11:22,620,+  0.33,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        33,2025/08/17 13:11:22,640,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        34,2025/08/17 13:11:22,660,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        35,2025/08/17 13:11:22,680,+  0.35,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        36,2025/08/17 13:11:22,700,+  0.33,+ 49.59,        0,LLLLLLLLLL,LLLL,LLLL
        37,2025/08/17 13:11:22,720,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        38,2025/08/17 13:11:22,740,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
        39,2025/08/17 13:11:22,760,+  0.34,+ 49.60,        0,LLLLLLLLLL,LLLL,LLLL
