Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.43  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Pulse,Off
TempUnit,C
Sampling interval,20ms
Total data points,20623     
Trigger,0         
Start time,2025-08-17,12:28:28
End time,2025-08-17,12:35:20
Trigger time,2025-08-17,12:28:28
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH5," CH 5","M",DC,2V,,Off,+50.00,-50.00,[A],28,16,2,0
CH6," CH 6","M",DC,100V,,Off,+50.00,-50.00,[V],5,23,30,0
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line Width
Pulse1,COUNT,L,,500000,0,[C],28,5,6,0
Pulse2,OFF,H,,500000,0,[],0,13,23,0
Pulse3,OFF,H,,500000,0,[],9,22,8,0
Pulse4,OFF,H,,500000,0,[],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH5,CH6,Pulse1,Alarm1-10,AlarmLogic/Pulse,AlarmOut
NO.,Time,ms,"A","V","C","A1234567890","ALP1-4","AO1234"
         1,2025/08/17 12:28:28,  0,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
         2,2025/08/17 12:28:28, 20,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
         3,2025/08/17 12:28:28, 40,+  0.53,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
         4,2025/08/17 12:28:28, 60,+  0.52,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
         5,2025/08/17 12:28:28, 80,+  0.52,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
         6,2025/08/17 12:28:28,100,+  0.51,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
         7,2025/08/17 12:28:28,120,+  0.52,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
         8,2025/08/17 12:28:28,140,+  0.52,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
         9,2025/08/17 12:28:28,160,+  0.51,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        10,2025/08/17 12:28:28,180,+  0.51,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        11,2025/08/17 12:28:28,200,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        12,2025/08/17 12:28:28,220,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        13,2025/08/17 12:28:28,240,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        14,2025/08/17 12:28:28,260,+  0.50,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        15,2025/08/17 12:28:28,280,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        16,2025/08/17 12:28:28,300,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        17,2025/08/17 12:28:28,320,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        18,2025/08/17 12:28:28,340,+  0.52,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        19,2025/08/17 12:28:28,360,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        20,2025/08/17 12:28:28,380,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        21,2025/08/17 12:28:28,400,+  0.52,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        22,2025/08/17 12:28:28,420,+  0.51,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        23,2025/08/17 12:28:28,440,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        24,2025/08/17 12:28:28,460,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        25,2025/08/17 12:28:28,480,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        26,2025/08/17 12:28:28,500,+  0.50,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        27,2025/08/17 12:28:28,520,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        28,2025/08/17 12:28:28,540,+  0.50,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        29,2025/08/17 12:28:28,560,+  0.52,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        30,2025/08/17 12:28:28,580,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        31,2025/08/17 12:28:28,600,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        32,2025/08/17 12:28:28,620,+  0.52,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        33,2025/08/17 12:28:28,640,+  0.50,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        34,2025/08/17 12:28:28,660,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        35,2025/08/17 12:28:28,680,+  0.52,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        36,2025/08/17 12:28:28,700,+  0.52,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        37,2025/08/17 12:28:28,720,+  0.52,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        38,2025/08/17 12:28:28,740,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        39,2025/08/17 12:28:28,760,+  0.52,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        40,2025/08/17 12:28:28,780,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        41,2025/08/17 12:28:28,800,+  0.51,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        42,2025/08/17 12:28:28,820,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        43,2025/08/17 12:28:28,840,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        44,2025/08/17 12:28:28,860,+  0.52,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        45,2025/08/17 12:28:28,880,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        46,2025/08/17 12:28:28,900,+  0.50,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        47,2025/08/17 12:28:28,920,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        48,2025/08/17 12:28:28,940,+  0.50,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        49,2025/08/17 12:28:28,960,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        50,2025/08/17 12:28:28,980,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        51,2025/08/17 12:28:29,  0,+  0.50,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        52,2025/08/17 12:28:29, 20,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        53,2025/08/17 12:28:29, 40,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        54,2025/08/17 12:28:29, 60,+  0.51,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        55,2025/08/17 12:28:29, 80,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        56,2025/08/17 12:28:29,100,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        57,2025/08/17 12:28:29,120,+  0.50,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        58,2025/08/17 12:28:29,140,+  0.50,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        59,2025/08/17 12:28:29,160,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        60,2025/08/17 12:28:29,180,+  0.50,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        61,2025/08/17 12:28:29,200,+  0.50,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        62,2025/08/17 12:28:29,220,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        63,2025/08/17 12:28:29,240,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        64,2025/08/17 12:28:29,260,+  0.50,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        65,2025/08/17 12:28:29,280,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        66,2025/08/17 12:28:29,300,+  0.50,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        67,2025/08/17 12:28:29,320,+  0.52,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        68,2025/08/17 12:28:29,340,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        69,2025/08/17 12:28:29,360,+  0.52,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        70,2025/08/17 12:28:29,380,+  0.52,+ 51.22,        0,LLLLLLLLLL,LLLL,LLLL
        71,2025/08/17 12:28:29,400,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        72,2025/08/17 12:28:29,420,+  0.52,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        73,2025/08/17 12:28:29,440,+  0.51,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        74,2025/08/17 12:28:29,460,+  0.50,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
        75,2025/08/17 12:28:29,480,+  0.52,+ 51.23,        0,LLLLLLLLLL,LLLL,LLLL
