Vendor,GRAPHTEC Corporation
Model,GL240
Firmware,Ver1.43
Software, "Ver1.30"
MaxChannel,10CH
GSStartCH
WLStartCH,10CH
Sampling,50ms
Total data points,460         
Trigger,0           
Start time,2023-06-04,13:29:29
Stop time,2023-06-04,13:29:52
Trigger time,2023-06-04,13:29:29
AC Mode, AC1_2, AC1_2
Logic/Pulse,Pulse,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH5,CH 5,M,DC,2V,,Off,50.000000,-50.000000,A
CH6,CH 6,M,DC,100V,,Off,50.000000,-50.000000,V
Pulse1,COUNT,L,On,500000.000000,0.000000,C
Data
No., Date&Time, ms,CH5,CH6,Pulse1,Alarm1,AlarmLP,AlarmOut
NO.,Time,ms,A,V,C,A1234567890,A1-28,A123456789
42,2023-06-04 13:29:31,050,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
43,2023-06-04 13:29:31,100,-0.0480,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
44,2023-06-04 13:29:31,150,-0.0400,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
45,2023-06-04 13:29:31,200,-0.0480,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
46,2023-06-04 13:29:31,250,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
47,2023-06-04 13:29:31,300,-0.0400,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
48,2023-06-04 13:29:31,350,-0.0320,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
49,2023-06-04 13:29:31,400,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
50,2023-06-04 13:29:31,450,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
51,2023-06-04 13:29:31,500,-0.0400,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
52,2023-06-04 13:29:31,550,-0.0480,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
53,2023-06-04 13:29:31,600,-0.0400,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
54,2023-06-04 13:29:31,650,-0.0480,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
55,2023-06-04 13:29:31,700,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
56,2023-06-04 13:29:31,750,-0.0480,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
57,2023-06-04 13:29:31,800,-0.0480,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
58,2023-06-04 13:29:31,850,-0.0320,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
59,2023-06-04 13:29:31,900,-0.0480,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
60,2023-06-04 13:29:31,950,-0.0400,+50.41,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
61,2023-06-04 13:29:32,000,-0.0480,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
62,2023-06-04 13:29:32,050,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
63,2023-06-04 13:29:32,100,-0.0480,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
64,2023-06-04 13:29:32,150,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
65,2023-06-04 13:29:32,200,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
66,2023-06-04 13:29:32,250,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
67,2023-06-04 13:29:32,300,-0.0400,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
68,2023-06-04 13:29:32,350,-0.0400,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
69,2023-06-04 13:29:32,400,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
70,2023-06-04 13:29:32,450,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
71,2023-06-04 13:29:32,500,-0.0480,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
72,2023-06-04 13:29:32,550,-0.0400,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
73,2023-06-04 13:29:32,600,-0.0400,+50.43,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
74,2023-06-04 13:29:32,650,-0.0400,+50.42,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
