timestamp,throttle,speed,rpm,current,voltage,throttleTooHigh,motorInitializing,clockState,lastDeadman
00.00.00,0,0,0,43,4035,0,0,0,00.00.00
00.00.00,0,0,0,0,3657,0,0,0,00.00.00
00.00.00,0,0,0,0,3714,0,0,0,00.00.00
00.00.00,0,0,0,0,3702,0,0,0,00.00.00
00.00.00,0,0,0,0,3634,0,0,0,00.00.00
00.00.00,0,0,0,0,3646,0,0,0,00.00.00
0,00.00.00
00.00.01,0,0,0,0,3775,0,0,0,00.00.00
00.00.01,0,0,0,0,3797,0,0,0,00.00.00
00.00.02,0,0,0,0,3620,0,0,0,00.00.00
00.00.02,0,0,0,0,3629,0,0,0,00.00.00
00.00.02,0,0,0,0,3725,0,0,0,00.00.00
00.00.02,0,0,0,0,3728,0,0,0,00.00.00
00.00.02,0,0,0,0,3635,0,0,0,00.00.00
00.00.02,0,0,0,0,3626,0,0,0,00.00.00
00.00.02,0,0,0,0,3683,0,0,0,00.00.00
00.00.02,0,0,0,0,3627,0,0,0,00.00.00
00.00.02,0,0,0,0,3691,0,0,0,00.00.00
00.00.02,0,0,0,0,3641,0,0,0,00.00.00
00.00.02,0,0,0,0,3696,0,0,0,00.00.00
00.00.02,0,0,0,0,3626,0,0,0,00.00.00
00.00.02,0,0,0,0,3691,0,0,0,00.00.00
00.00.02,0,0,0,0,3627,0,0,0,00.00.00
00.00.02,0,0,0,0,3626,0,0,0,00.00.00
00.00.02,0,0,0,0,3721,0,0,0,00.00.00
00.00.02,0,0,0,25,3730,0,0,0,00.00.00
00.00.02,0,0,0,0,3627,0,0,0,00.00.00
