timestamp,throttle,speed,rpm,current,voltage,throttleTooHigh,motorInitializing,clockState,lastDeadman
00.33.18,0,256,0,1049,558,0,0,0,00.00.00
00.33.18,0,256,0,1048,560,0,0,0,00.00.00
00.33.18,0,256,0,1050,561,0,0,0,00.00.00
00.33.18,0,256,0,1050,561,0,0,0,00.00.00
00.33.18,0,256,0,1051,563,0,0,0,00.00.00
00.33.18,0,256,0,1050,561,0,0,0,00.00.00
00.33.27,0,180,0,1050,568,0,0,0,00.00.00
00.33.27,0,180,0,1050,568,0,0,0,00.00.00
00.33.27,0,180,0,1051,559,0,0,0,00.00.00
00.33.27,0,180,0,1051,563,0,0,0,00.00.00
00.33.27,0,180,0,1049,559,0,0,0,00.00.00
00.33.27,0,180,0,1047,560,0,0,0,00.00.00
00.33.27,0,180,0,1048,558,0,0,0,00.00.00
00.33.27,0,180,0,1048,558,0,0,0,00.00.00
00.33.27,0,180,0,1049,558,0,0,0,00.00.00
00.33.27,0,180,0,1049,557,0,0,0,00.00.00
00.33.27,0,180,0,1049,562,0,0,0,00.00.00
00.33.27,0,180,0,1049,561,0,0,0,00.00.00
00.33.27,0,180,0,1047,555,0,0,0,00.00.00
00.33.27,0,180,0,1049,561,0,0,0,00.00.00
00.33.27,0,180,0,1048,557,0,0,0,00.00.00
00.33.27,0,180,0,1047,560,0,0,0,00.00.00
00.33.27,0,180,0,1053,568,0,0,0,00.00.00
00.33.27,0,180,0,1053,568,0,0,0,00.00.00
00.33.27,0,180,0,1051,563,0,0,0,00.00.00
00.33.27,0,180,0,1051,561,0,0,0,00.00.00
00.33.27,0,180,0,1047,556,0,0,0,00.00.00
00.33.28,0,180,0,1051,558,0,0,0,00.00.00
00.33.28,0,180,0,1050,561,0,0,0,00.00.00
00.33.28,0,180,0,1051,558,0,0,0,00.00.00
00.33.28,0,180,0,1051,559,0,0,0,00.00.00
00.33.28,0,180,0,1049,560,0,0,0,00.00.00
00.33.28,0,180,0,1049,560,0,0,0,00.00.00
00.33.28,0,180,0,1049,559,0,0,0,00.00.00
00.33.28,0,180,0,1049,561,0,0,0,00.00.00
00.33.28,0,180,0,1049,560,0,0,0,00.00.00
00.33.28,0,180,0,1050,561,0,0,0,00.00.00
00.33.28,0,180,0,1050,562,0,0,0,00.00.00
00.33.28,0,180,0,1062,577,0,0,0,00.00.00
00.33.28,0,180,0,1042,554,0,0,0,00.00.00
00.33.28,0,180,0,1053,559,0,0,0,00.00.00
00.33.28,0,180,0,1051,557,0,0,0,00.00.00
00.33.28,0,180,0,1051,557,0,0,0,00.00.00
00.33.28,0,180,0,1049,558,0,0,0,00.00.00
00.33.28,0,180,0,1051,555,0,0,0,00.00.00
00.33.28,0,180,0,1048,560,0,0,0,00.00.00
00.33.28,0,180,0,1048,560,0,0,0,00.00.00
00.33.28,0,180,0,1046,560,0,0,0,00.00.00
00.33.29,0,180,0,1048,556,0,0,0,00.00.00
00.33.29,0,180,0,1049,557,0,0,0,00.00.00
00.33.29,0,180,0,1049,557,0,0,0,00.00.00
00.33.29,0,180,0,1049,559,0,0,0,00.00.00
00.33.29,0,180,0,1049,555,0,0,0,00.00.00
00.33.29,0,180,0,1049,556,0,0,0,00.00.00
00.33.29,0,180,0,1050,564,0,0,0,00.00.00
00.33.29,0,180,0,1050,564,0,0,0,00.00.00
00.33.29,0,180,0,1051,562,0,0,0,00.00.00
00.33.29,0,180,0,1049,560,0,0,0,00.00.00
00.33.29,0,180,0,1047,559,0,0,0,00.00.00
00.33.29,0,180,0,1048,558,0,0,0,00.00.00
00.33.29,0,180,0,1046,560,0,0,0,00.00.00
00.33.29,0,180,0,1049,559,0,0,0,00.00.00
00.33.29,0,180,0,1047,560,0,0,0,00.00.00
00.33.29,0,180,0,1049,558,0,0,0,00.00.00
00.33.29,0,180,0,1046,560,0,0,0,00.00.00
00.33.29,0,180,0,1049,559,0,0,0,00.00.00
00.33.29,0,180,0,1047,560,0,0,0,00.00.00
00.33.29,0,180,0,1049,557,0,0,0,00.00.00
