Vendor,GRAPHTEC Corporation
Model,GL240
Firmware,Ver1.43
Software, "Ver1.30"
MaxChannel,10CH
GSStartCH
WLStartCH,10CH
Sampling,50ms
Total data points,365         
Trigger,0           
Start time,2023-05-20,16:57:54
Stop time,2023-05-20,16:58:12
Trigger time,2023-05-20,16:57:54
AC Mode, AC1_2, AC1_2
Logic/Pulse,Pulse,Off
Amp setting
CH, Signal name, AMP, Input, Range, Temp Range, Filter, Span
CH4,CH 4,M,DC,1-5V,,Off,0.458300,-0.458300,On
CH5,CH 5,M,DC,2V,,Off,50.000000,-50.000000,A
CH6,CH 6,M,DC,100V,,Off,50.000000,-50.000000,V
Pulse1,COUNT,L,On,500000.000000,0.000000,C
Data
No., Date&Time, ms,CH4,CH5,CH6,Pulse1,Alarm1,AlarmLP,AlarmOut
NO.,Time,ms,On,A,V,C,A1234567890,A1-28,A123456789
162,2023-05-20 16:58:02,050,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
163,2023-05-20 16:58:02,100,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
164,2023-05-20 16:58:02,150,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
165,2023-05-20 16:58:02,200,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
166,2023-05-20 16:58:02,250,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
167,2023-05-20 16:58:02,300,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
168,2023-05-20 16:58:02,350,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
169,2023-05-20 16:58:02,400,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
170,2023-05-20 16:58:02,450,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
171,2023-05-20 16:58:02,500,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
172,2023-05-20 16:58:02,550,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
173,2023-05-20 16:58:02,600,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
174,2023-05-20 16:58:02,650,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
175,2023-05-20 16:58:02,700,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
176,2023-05-20 16:58:02,750,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
177,2023-05-20 16:58:02,800,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
178,2023-05-20 16:58:02,850,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
179,2023-05-20 16:58:02,900,+0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
180,2023-05-20 16:58:02,950,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
181,2023-05-20 16:58:03,000,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
182,2023-05-20 16:58:03,050,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
183,2023-05-20 16:58:03,100,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
184,2023-05-20 16:58:03,150,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
185,2023-05-20 16:58:03,200,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
186,2023-05-20 16:58:03,250,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
187,2023-05-20 16:58:03,300,+0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
188,2023-05-20 16:58:03,350,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
189,2023-05-20 16:58:03,400,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
190,2023-05-20 16:58:03,450,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
191,2023-05-20 16:58:03,500,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
192,2023-05-20 16:58:03,550,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
193,2023-05-20 16:58:03,600,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
194,2023-05-20 16:58:03,650,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
195,2023-05-20 16:58:03,700,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
196,2023-05-20 16:58:03,750,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
197,2023-05-20 16:58:03,800,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
198,2023-05-20 16:58:03,850,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
199,2023-05-20 16:58:03,900,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
200,2023-05-20 16:58:03,950,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
201,2023-05-20 16:58:04,000,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
202,2023-05-20 16:58:04,050,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
203,2023-05-20 16:58:04,100,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
204,2023-05-20 16:58:04,150,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
205,2023-05-20 16:58:04,200,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
206,2023-05-20 16:58:04,250,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
207,2023-05-20 16:58:04,300,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
208,2023-05-20 16:58:04,350,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
209,2023-05-20 16:58:04,400,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
210,2023-05-20 16:58:04,450,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
211,2023-05-20 16:58:04,500,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
212,2023-05-20 16:58:04,550,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
213,2023-05-20 16:58:04,600,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
214,2023-05-20 16:58:04,650,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
215,2023-05-20 16:58:04,700,+0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
216,2023-05-20 16:58:04,750,+0.000,-0.0320,+46.90,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
217,2023-05-20 16:58:04,800,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
218,2023-05-20 16:58:04,850,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
219,2023-05-20 16:58:04,900,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
220,2023-05-20 16:58:04,950,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
221,2023-05-20 16:58:05,000,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
222,2023-05-20 16:58:05,050,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
223,2023-05-20 16:58:05,100,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
224,2023-05-20 16:58:05,150,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
225,2023-05-20 16:58:05,200,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
226,2023-05-20 16:58:05,250,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
227,2023-05-20 16:58:05,300,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
228,2023-05-20 16:58:05,350,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
229,2023-05-20 16:58:05,400,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
230,2023-05-20 16:58:05,450,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
231,2023-05-20 16:58:05,500,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
232,2023-05-20 16:58:05,550,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
233,2023-05-20 16:58:05,600,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
234,2023-05-20 16:58:05,650,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
235,2023-05-20 16:58:05,700,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
236,2023-05-20 16:58:05,750,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
237,2023-05-20 16:58:05,800,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
238,2023-05-20 16:58:05,850,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
239,2023-05-20 16:58:05,900,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
240,2023-05-20 16:58:05,950,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
241,2023-05-20 16:58:06,000,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
242,2023-05-20 16:58:06,050,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
243,2023-05-20 16:58:06,100,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
244,2023-05-20 16:58:06,150,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
245,2023-05-20 16:58:06,200,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
246,2023-05-20 16:58:06,250,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
247,2023-05-20 16:58:06,300,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
248,2023-05-20 16:58:06,350,-0.000,-0.0480,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
249,2023-05-20 16:58:06,400,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
250,2023-05-20 16:58:06,450,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
251,2023-05-20 16:58:06,500,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
252,2023-05-20 16:58:06,550,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
253,2023-05-20 16:58:06,600,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
254,2023-05-20 16:58:06,650,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
255,2023-05-20 16:58:06,700,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
256,2023-05-20 16:58:06,750,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
257,2023-05-20 16:58:06,800,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
258,2023-05-20 16:58:06,850,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
259,2023-05-20 16:58:06,900,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
260,2023-05-20 16:58:06,950,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
261,2023-05-20 16:58:07,000,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
262,2023-05-20 16:58:07,050,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
263,2023-05-20 16:58:07,100,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
264,2023-05-20 16:58:07,150,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
265,2023-05-20 16:58:07,200,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
266,2023-05-20 16:58:07,250,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
267,2023-05-20 16:58:07,300,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
268,2023-05-20 16:58:07,350,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
269,2023-05-20 16:58:07,400,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
270,2023-05-20 16:58:07,450,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
271,2023-05-20 16:58:07,500,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
272,2023-05-20 16:58:07,550,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
273,2023-05-20 16:58:07,600,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
274,2023-05-20 16:58:07,650,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
275,2023-05-20 16:58:07,700,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
276,2023-05-20 16:58:07,750,-0.000,-0.0480,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
277,2023-05-20 16:58:07,800,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
278,2023-05-20 16:58:07,850,+0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
279,2023-05-20 16:58:07,900,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
280,2023-05-20 16:58:07,950,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
281,2023-05-20 16:58:08,000,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
282,2023-05-20 16:58:08,050,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
283,2023-05-20 16:58:08,100,-0.000,-0.0480,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
284,2023-05-20 16:58:08,150,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
285,2023-05-20 16:58:08,200,-0.000,-0.0480,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
286,2023-05-20 16:58:08,250,-0.000,-0.0480,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
287,2023-05-20 16:58:08,300,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
288,2023-05-20 16:58:08,350,-0.000,-0.0480,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
289,2023-05-20 16:58:08,400,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
290,2023-05-20 16:58:08,450,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
291,2023-05-20 16:58:08,500,-0.000,-0.0480,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
292,2023-05-20 16:58:08,550,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
293,2023-05-20 16:58:08,600,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
294,2023-05-20 16:58:08,650,+0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
295,2023-05-20 16:58:08,700,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
296,2023-05-20 16:58:08,750,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
297,2023-05-20 16:58:08,800,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
298,2023-05-20 16:58:08,850,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
299,2023-05-20 16:58:08,900,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
300,2023-05-20 16:58:08,950,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
301,2023-05-20 16:58:09,000,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
302,2023-05-20 16:58:09,050,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
303,2023-05-20 16:58:09,100,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
304,2023-05-20 16:58:09,150,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
305,2023-05-20 16:58:09,200,+0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
306,2023-05-20 16:58:09,250,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
307,2023-05-20 16:58:09,300,-0.000,-0.0480,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
308,2023-05-20 16:58:09,350,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
309,2023-05-20 16:58:09,400,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
310,2023-05-20 16:58:09,450,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
311,2023-05-20 16:58:09,500,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
312,2023-05-20 16:58:09,550,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
313,2023-05-20 16:58:09,600,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
314,2023-05-20 16:58:09,650,-0.000,-0.0480,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
315,2023-05-20 16:58:09,700,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
316,2023-05-20 16:58:09,750,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
317,2023-05-20 16:58:09,800,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
318,2023-05-20 16:58:09,850,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
319,2023-05-20 16:58:09,900,+0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
320,2023-05-20 16:58:09,950,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
321,2023-05-20 16:58:10,000,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
322,2023-05-20 16:58:10,050,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
323,2023-05-20 16:58:10,100,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
324,2023-05-20 16:58:10,150,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
325,2023-05-20 16:58:10,200,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
326,2023-05-20 16:58:10,250,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
327,2023-05-20 16:58:10,300,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
328,2023-05-20 16:58:10,350,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
329,2023-05-20 16:58:10,400,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
330,2023-05-20 16:58:10,450,+0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
331,2023-05-20 16:58:10,500,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
332,2023-05-20 16:58:10,550,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
333,2023-05-20 16:58:10,600,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
334,2023-05-20 16:58:10,650,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
335,2023-05-20 16:58:10,700,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
336,2023-05-20 16:58:10,750,+0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
337,2023-05-20 16:58:10,800,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
338,2023-05-20 16:58:10,850,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
339,2023-05-20 16:58:10,900,-0.000,-0.0480,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
340,2023-05-20 16:58:10,950,-0.000,-0.0400,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
341,2023-05-20 16:58:11,000,-0.000,-0.0400,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
342,2023-05-20 16:58:11,050,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
343,2023-05-20 16:58:11,100,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
344,2023-05-20 16:58:11,150,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
345,2023-05-20 16:58:11,200,-0.000,-0.0320,+46.89,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
346,2023-05-20 16:58:11,250,-0.000,-0.0320,+46.88,0,LLLLLLLLLL,LLLLLLLLLLLLLLLL,LLLLLLLLL
