Tick,Throttle,Speed,Current,Voltage,Speed
47,0, 0, 0, 0, 5682
104,0, 0, 0, 0, 5682
154,0, 0, 0, 0, 5682
204,0, 0, 0, 0, 5682
254,0, 0, 0, 0, 5682
304,0, 0, 0, 0, 5682
357,0, 0, 0, 0, 5682
407,0, 0, 0, 0, 5682
457,0, 0, 0, 0, 5682
507,0, 0, 0, 0, 5682
557,0, 0, 0, 0, 5682
609,0, 0, 0, 0, 5682
659,0, 0, 0, 0, 5682
709,0, 0, 0, 0, 5682
759,0, 0, 0, 0, 5682
809,0, 0, 0, 0, 5682
862,0, 0, 0, 0, 5682
912,0, 0, 0, 0, 5682
962,0, 0, 0, 0, 5682
1012,0, 0, 0, 0, 5682
1062,0, 0, 0, 0, 5682
1114,0, 0, 0, 0, 5682
1164,0, 0, 0, 0, 5682
1215,0, 0, 0, 0, 5682
1265,0, 0, 0, 0, 5682
1315,0, 0, 0, 0, 5682
1367,0, 0, 0, 0, 5682
1417,0, 0, 0, 0, 5682
1467,0, 0, 0, 0, 5682
1517,0, 0, 0, 0, 5682
1567,0, 0, 0, 0, 5682
1619,0, 0, 0, 0, 5682
1669,0, 0, 0, 0, 5682
1719,0, 0, 0, 0, 5682
1769,0, 0, 0, 0, 5682
1819,0, 0, 0, 0, 5682
1871,0, 0, 0, 0, 5682
1921,0, 0, 0, 0, 5682
1971,0, 0, 0, 0, 5682
2021,0, 0, 0, 0, 5682
2071,0, 0, 0, 0, 5682
2123,0, 0, 0, 0, 5682
2173,0, 0, 0, 0, 5682
2223,0, 0, 0, 0, 5682
2273,0, 0, 0, 0, 5682
2323,0, 0, 0, 0, 5682
2377,0, 0, 0, 0, 5682
2427,0, 0, 0, 0, 5682
2477,0, 0, 0, 0, 5682
2527,0, 0, 0, 0, 5682
2577,0, 0, 0, 0, 5682
2629,0, 0, 0, 0, 5682
2679,0, 0, 0, 0, 5682
2729,0, 0, 0, 0, 5682
2779,0, 0, 0, 0, 5682
2829,0, 0, 0, 0, 5682
2881,0, 0, 0, 0, 5682
2931,0, 0, 0, 0, 5682
2981,0, 0, 0, 0, 5682
3031,0, 0, 0, 0, 5682
3081,0, 0, 0, 0, 5682
3133,0, 0, 0, 0, 5682
3183,0, 0, 0, 0, 5682
3233,0, 0, 0, 0, 5682
3283,0, 0, 0, 0, 5682
3333,0, 0, 0, 0, 5682
3385,0, 0, 0, 0, 5682
3435,0, 0, 0, 0, 5682
3485,0, 0, 0, 0, 5682
3536,0, 0, 0, 0, 5682
3586,0, 0, 0, 0, 5682
3638,0, 0, 0, 0, 5682
3688,0, 0, 0, 0, 5682
3738,0, 0, 0, 0, 5682
3788,0, 0, 0, 0, 5682
3838,0, 0, 0, 0, 5682
3890,0, 0, 0, 0, 5682
3940,0, 0, 0, 0, 5682
3990,0, 0, 0, 0, 5682
4040,0, 0, 0, 0, 5682
4090,0, 0, 0, 0, 5682
4142,0, 0, 0, 0, 5682
4192,0, 0, 0, 0, 5682
4242,0, 0, 0, 0, 5682
4292,0, 0, 0, 0, 5682
4342,0, 0, 0, 0, 5682
4394,0, 0, 0, 0, 5682
4444,0, 0, 0, 0, 5682
4494,0, 0, 0, 0, 5682
4544,0, 0, 0, 0, 5682
4594,0, 0, 0, 0, 5682
4646,0, 0, 0, 0, 5682
4696,0, 0, 0, 0, 5682
4747,0, 0, 0, 0, 5682
4797,0, 0, 0, 0, 5682
4847,0, 0, 0, 0, 5682
4899,0, 0, 0, 0, 5682
4949,0, 0, 0, 0, 5682
4999,0, 0, 0, 0, 5682
5049,0, 0, 0, 0, 5682
5099,0, 0, 0, 0, 5682
5151,0, 0, 0, 0, 5682
5201,0, 0, 0, 0, 5682
5251,0, 0, 0, 0, 5682
5301,0, 0, 0, 0, 5682
5351,0, 0, 0, 0, 5682
5403,0, 0, 0, 0, 5682
5453,0, 0, 0, 0, 5682
5503,0, 0, 0, 0, 5682
5553,0, 0, 0, 0, 5682
5603,0, 0, 0, 0, 5682
5655,0, 0, 0, 0, 5682
5705,0, 0, 0, 0, 5682
5755,0, 0, 0, 0, 5682
5805,0, 0, 0, 0, 5682
5855,0, 0, 0, 0, 5682
5909,0, 0, 0, 0, 5682
5959,0, 0, 0, 0, 5682
6009,0, 0, 0, 0, 5682
6059,0, 0, 0, 0, 5682
6109,0, 0, 0, 0, 5682
6161,0, 0, 0, 0, 5682
6211,0, 0, 0, 0, 5682
6261,0, 0, 0, 0, 5682
6311,0, 0, 0, 0, 5682
6361,0, 0, 0, 0, 5682
