Tick,Throttle,Speed,Current,Voltage,Speed
8964,0, 0, 0, 0, 5682
9014,0, 0, 0, 0, 5682
9064,0, 0, 0, 0, 5682
9114,0, 0, 0, 0, 5682
9166,0, 0, 0, 0, 5682
9216,0, 0, 0, 0, 5682
9266,0, 0, 0, 0, 5682
9316,0, 0, 0, 0, 5682
9366,0, 0, 0, 0, 5682
9419,0, 0, 0, 0, 5682
9469,0, 0, 0, 0, 5682
9519,0, 0, 0, 0, 5682
9569,0, 0, 0, 0, 5682
9619,0, 0, 0, 0, 5682
9671,0, 0, 0, 0, 5682
9721,0, 0, 0, 0, 5682
9771,0, 0, 0, 0, 5682
9821,0, 0, 0, 0, 5682
9871,0, 0, 0, 0, 5682
9923,0, 0, 0, 0, 5682
9973,0, 0, 0, 0, 5682
10023,0, 0, 0, 0, 5682
10073,0, 0, 0, 0, 5682
10123,0, 0, 0, 0, 5682
10175,0, 0, 0, 0, 5682
10225,0, 0, 0, 0, 5682
10275,0, 0, 0, 0, 5682
10325,0, 0, 0, 0, 5682
10375,0, 0, 0, 0, 5682
10427,0, 0, 0, 0, 5682
10477,0, 0, 0, 0, 5682
10527,0, 0, 0, 0, 5682
10578,0, 0, 0, 0, 5682
10628,0, 0, 0, 0, 5682
10680,0, 0, 0, 0, 5682
10730,0, 0, 0, 0, 5682
10780,0, 0, 0, 0, 5682
10830,0, 0, 0, 0, 5682
10880,0, 0, 0, 0, 5682
10934,0, 0, 0, 0, 5682
10984,0, 0, 0, 0, 5682
11034,0, 0, 0, 0, 5682
11084,0, 0, 0, 0, 5682
11134,0, 0, 0, 0, 5682
11186,0, 0, 0, 0, 5682
11236,0, 0, 0, 0, 5682
11286,0, 0, 0, 0, 5682
11336,0, 0, 0, 0, 5682
11386,0, 0, 0, 0, 5682
11438,0, 0, 0, 0, 5682
11488,0, 0, 0, 0, 5682
11538,0, 0, 0, 0, 5682
11588,0, 0, 0, 0, 5682
11638,0, 0, 0, 0, 5682
11692,0, 0, 0, 0, 5682
11742,0, 0, 0, 0, 5682
11792,0, 0, 0, 0, 5682
11842,0, 0, 0, 0, 5682
11892,0, 0, 0, 0, 5682
11944,0, 0, 0, 0, 5682
11994,0, 0, 0, 0, 5682
12044,0, 0, 0, 0, 5682
12094,0, 0, 0, 0, 5682
12144,0, 0, 0, 0, 5682
12196,0, 0, 0, 0, 5682
12246,0, 0, 0, 0, 5682
12296,0, 0, 0, 0, 5682
12346,0, 0, 0, 0, 5682
12396,0, 0, 0, 0, 5682
12448,0, 0, 0, 0, 5682
12498,0, 0, 0, 0, 5682
12548,0, 0, 0, 0, 5682
12598,0, 0, 0, 0, 5682
12648,0, 0, 0, 0, 5682
12700,0, 0, 0, 0, 5682
12750,0, 0, 0, 0, 5682
12801,0, 0, 0, 0, 5682
12851,0, 0, 0, 0, 5682
12901,0, 0, 0, 0, 5682
12953,0, 0, 0, 0, 5682
13005,0, 0, 0, 0, 5682
13055,0, 0, 0, 0, 5682
13105,0, 0, 0, 0, 5682
13155,0, 0, 0, 0, 5682
13205,0, 0, 0, 0, 5682
13257,0, 0, 0, 0, 5682
