Tick,Throttle,Speed,Current,Voltage,HallPulses,Distance_m
29662,690,10342,117,48975,56,23.460
29968,690,10333,116,48974,58,24.298
30018,690,10261,116,48974,59,24.717
30068,690,10261,0,48974,59,24.717
30118,690,10261,0,48974,60,25.136
30168,690,10261,0,48974,60,25.136
30218,690,10279,0,48974,60,25.136
30268,690,10279,0,48975,61,25.555
30318,690,10279,0,48975,61,25.555
30368,690,10279,0,48975,61,25.555
30418,690,10294,0,48975,62,25.974
30468,690,10294,118,48975,62,25.974
30518,690,10294,118,48975,62,25.974
30568,690,10294,118,48975,63,26.393
30660,690,10214,118,48974,63,26.393
30710,690,10214,118,48974,64,26.812
30760,690,10214,118,48974,64,26.812
30810,690,10226,118,48974,64,26.812
30860,690,10226,116,48974,65,27.231
30910,690,10226,116,48974,65,27.231
30960,690,10226,116,48974,65,27.231
