Tick,Throttle,Speed,Current,Voltage,HallPulses,Distance_m
280,0,0,0,0,0,0.000
330,0,0,0,0,0,0.000
380,0,0,0,0,0,0.000
430,0,0,0,0,0,0.000
480,0,0,0,48961,0,0.000
530,0,0,0,48961,0,0.000
580,0,0,0,48961,0,0.000
630,0,0,0,48961,0,0.000
680,0,0,59,48961,0,0.000
730,0,0,59,48961,0,0.000
780,0,0,59,48961,0,0.000
847,689,0,59,48961,0,0.000
897,689,0,59,48958,0,0.000
947,689,0,59,48958,0,0.000
997,689,0,59,48958,0,0.000
1047,689,0,59,48958,0,0.000
1097,689,0,113,48958,0,0.000
1147,689,0,113,48958,0,0.000
1197,689,0,113,48958,0,0.000
1252,689,0,113,48958,0,0.000
1302,689,0,113,48958,0,0.000
1363,689,0,113,48958,0,0.000
1413,689,0,113,48958,0,0.000
1463,689,0,117,48958,0,0.000
1513,689,0,117,48958,0,0.000
1563,689,0,117,48958,0,0.000
1613,689,0,117,48958,0,0.000
1663,689,0,117,48958,0,0.000
1713,689,0,117,48958,0,0.000
1763,689,0,117,48958,0,0.000
1813,689,0,117,48958,0,0.000
1874,689,0,119,48958,0,0.000
1924,689,0,119,48958,0,0.000
1974,689,0,119,48958,0,0.000
2024,689,0,119,48958,0,0.000
2074,689,0,119,48957,0,0.000
2130,689,0,119,48957,0,0.000
2180,689,0,119,48957,0,0.000
2230,689,0,119,48957,0,0.000
2280,689,0,120,48957,0,0.000
2330,689,0,120,48957,0,0.000
2391,689,0,120,48957,0,0.000
2441,689,0,120,48957,0,0.000
2491,689,0,120,48958,0,0.000
2541,689,0,120,48958,0,0.000
2591,689,0,120,48958,0,0.000
2641,689,0,120,48958,0,0.000
2691,689,0,120,48958,0,0.000
2741,689,0,120,48958,0,0.000
2791,689,0,120,48958,0,0.000
2841,689,0,120,48958,0,0.000
2903,689,0,120,48957,0,0.000
2953,689,0,120,48957,0,0.000
3003,689,0,120,48957,0,0.000
3059,689,0,120,48957,0,0.000
3109,689,0,120,48957,0,0.000
3159,689,0,120,48957,0,0.000
3209,689,0,120,48957,0,0.000
3259,689,0,120,48957,0,0.000
3309,689,0,120,48957,0,0.000
3359,689,0,120,48957,0,0.000
3420,689,0,120,48957,0,0.000
3470,689,0,120,48957,0,0.000
3520,689,0,121,48957,0,0.000
3570,689,0,121,48957,0,0.000
3620,689,0,121,48957,0,0.000
3670,689,0,121,48957,0,0.000
3720,689,0,121,48956,0,0.000
3770,689,0,121,48956,0,0.000
3820,689,0,121,48956,0,0.000
3870,689,0,121,48956,0,0.000
3931,689,0,122,48956,0,0.000
3987,689,0,122,48956,0,0.000
4037,689,0,122,48956,0,0.000
4087,689,0,122,48956,0,0.000
4137,689,0,122,48956,0,0.000
4187,689,0,122,48956,0,0.000
4237,689,0,122,48956,0,0.000
4287,689,0,122,48956,0,0.000
4337,689,0,122,48956,0,0.000
4387,689,0,122,48956,0,0.000
4449,689,0,122,48956,0,0.000
4499,689,0,122,48956,0,0.000
4549,689,0,122,48956,0,0.000
4599,689,0,122,48956,0,0.000
4649,689,0,122,48956,0,0.000
