Tick,Throttle,Speed,Current,Voltage,HallPulses,Distance_m
279,0,0,0,0,0,0.000
329,0,0,0,0,0,0.000
379,0,0,0,0,0,0.000
429,0,0,0,0,0,0.000
479,0,0,0,48971,0,0.000
529,0,0,0,48971,0,0.000
579,0,0,0,48971,0,0.000
629,0,0,0,48971,0,0.000
679,0,0,56,48971,0,0.000
729,0,0,56,48971,0,0.000
779,0,0,56,48971,0,0.000
846,689,0,56,48971,0,0.000
896,689,0,56,48969,0,0.000
946,689,0,56,48969,0,0.000
996,689,0,56,48969,0,0.000
1046,689,0,56,48969,0,0.000
1096,689,0,109,48969,0,0.000
1146,689,0,109,48969,0,0.000
1196,689,0,109,48969,0,0.000
1251,689,0,109,48969,0,0.000
1301,689,0,109,48968,0,0.000
1362,689,0,109,48968,0,0.000
1412,689,0,109,48968,0,0.000
1462,689,0,114,48968,0,0.000
1512,689,0,114,48968,0,0.000
1562,689,0,114,48968,0,0.000
1612,689,0,114,48968,0,0.000
1662,689,0,114,48967,0,0.000
1712,689,0,114,48967,0,0.000
1762,689,0,114,48967,0,0.000
1812,689,0,114,48967,0,0.000
1873,689,0,115,48967,0,0.000
1923,689,0,115,48967,0,0.000
1973,689,0,115,48967,0,0.000
2023,689,0,115,48967,0,0.000
2073,689,0,115,48968,0,0.000
2129,689,0,115,48968,0,0.000
2179,689,0,115,48968,0,0.000
2229,689,0,115,48968,0,0.000
2279,689,0,116,48968,0,0.000
2329,689,0,116,48968,0,0.000
2390,689,0,116,48968,0,0.000
2440,690,0,116,48968,0,0.000
2490,690,0,116,48969,0,0.000
2540,690,0,116,48969,0,0.000
2590,690,0,116,48969,0,0.000
2640,690,0,116,48969,0,0.000
2690,690,0,116,48969,0,0.000
2740,690,0,116,48969,0,0.000
2790,690,0,116,48969,0,0.000
2840,690,0,116,48969,0,0.000
2901,690,0,116,48967,0,0.000
2951,690,0,116,48967,0,0.000
3001,690,0,116,48967,0,0.000
3057,690,0,116,48967,0,0.000
3107,690,0,116,48967,0,0.000
3157,690,0,116,48967,0,0.000
3207,690,0,116,48967,0,0.000
3257,689,0,116,48967,0,0.000
3307,689,0,116,48967,0,0.000
3357,689,0,116,48967,0,0.000
3418,689,0,116,48967,0,0.000
3468,689,0,116,48967,0,0.000
3518,689,0,117,48967,0,0.000
3568,689,0,117,48967,0,0.000
3618,689,0,117,48967,0,0.000
3668,689,0,117,48967,0,0.000
3718,689,0,117,48967,0,0.000
3768,689,0,117,48967,0,0.000
3818,689,0,117,48967,0,0.000
3868,689,0,117,48967,0,0.000
3929,689,0,117,48967,0,0.000
3985,689,0,117,48967,0,0.000
4035,689,0,117,48967,0,0.000
4085,689,0,117,48967,0,0.000
4135,689,0,117,48967,0,0.000
4185,689,0,117,48967,0,0.000
4235,689,0,117,48967,0,0.000
4285,689,0,117,48967,0,0.000
4335,689,0,117,48967,0,0.000
4385,689,0,117,48967,0,0.000
4446,689,0,117,48967,0,0.000
4496,689,0,117,48967,0,0.000
4546,689,0,117,48967,0,0.000
4596,689,0,117,48967,0,0.000
4646,689,0,117,48967,0,0.000
4696,689,0,117,48967,0,0.000
4746,689,0,117,48967,0,0.000
4796,689,0,117,48967,0,0.000
4852,689,0,117,48967,0,0.000
4902,689,0,117,48967,0,0.000
4964,689,0,117,48967,0,0.000
5014,689,0,117,48967,0,0.000
5064,689,0,117,48967,0,0.000
5114,689,0,117,48967,0,0.000
5164,689,0,117,48967,0,0.000
5214,689,0,117,48967,0,0.000
5264,689,0,117,48967,0,0.000
5314,689,0,117,48967,0,0.000
5364,689,0,117,48967,0,0.000
5414,689,0,117,48967,0,0.000
5476,689,0,117,48967,0,0.000
5526,689,0,117,48967,0,0.000
5576,689,0,117,48967,0,0.000
5626,690,0,117,48967,0,0.000
5676,690,0,117,48967,0,0.000
5726,690,0,117,48967,0,0.000
5783,690,0,117,47190,0,0.000
5833,690,0,117,47190,0,0.000
5883,690,0,117,47190,0,0.000
5933,690,0,117,47190,0,0.000
5995,690,0,118,47190,0,0.000
6045,690,0,118,47190,0,0.000
6095,690,0,118,47190,0,0.000
6145,690,0,118,47190,0,0.000
6195,690,0,118,48965,0,0.000
6245,690,0,118,48965,0,0.000
6295,690,0,118,48965,0,0.000
6345,690,0,118,48965,0,0.000
6395,690,0,117,48965,0,0.000
6445,689,0,117,48965,0,0.000
6506,689,0,117,48965,0,0.000
6556,689,0,117,48965,0,0.000
6606,689,0,117,48965,0,0.000
6656,689,0,117,48965,0,0.000
6712,689,0,117,48965,0,0.000
6762,689,0,117,48965,0,0.000
6812,689,0,117,48965,0,0.000
6862,689,0,117,48965,0,0.000
6912,689,0,117,48965,0,0.000
6962,689,0,117,48965,0,0.000
7023,689,0,117,48965,0,0.000
7073,689,0,117,48965,0,0.000
7123,689,0,117,48965,0,0.000
7173,689,0,117,48965,0,0.000
7223,689,0,117,48965,0,0.000
7273,690,0,117,48965,0,0.000
7323,690,0,117,48965,0,0.000
7373,690,0,117,48965,0,0.000
7423,690,0,117,48965,0,0.000
7473,690,0,117,48965,0,0.000
7534,690,0,117,48965,0,0.000
7589,690,0,0,48965,0,0.000
7639,690,0,0,48965,0,0.000
7689,690,0,0,48965,0,0.000
7739,690,0,0,48965,0,0.000
7789,690,0,0,48965,0,0.000
7839,690,0,0,48965,0,0.000
7889,690,0,0,48965,0,0.000
7939,690,0,0,48965,0,0.000
7989,690,0,118,48965,0,0.000
8050,690,0,118,48965,0,0.000
8100,690,0,118,48965,0,0.000
8150,690,0,118,48965,0,0.000
8200,690,0,118,48964,0,0.000
8250,690,0,118,48964,0,0.000
8300,690,0,118,48964,0,0.000
8350,690,0,118,48964,0,0.000
8400,690,0,118,48964,0,0.000
8450,690,0,118,48964,0,0.000
8500,690,0,118,48964,0,0.000
