timestamp,throttle,speed,rpm,current,voltage,acc_x,acc_y,acc_z
0,0.000000,0.000000,0,0.000000,0.000000,-0.314175,0.078544,9.925975
0,0.000000,0.000000,0,0.000000,0.000000,-0.294539,0.019636,9.975065
0,0.000000,0.000000,0,0.000000,0.000000,-0.294539,0.019636,9.975065
0,0.000000,0.000000,0,0.000000,0.000000,-0.323993,0.049090,9.965247
0,0.000000,0.000000,0,0.000000,0.000000,-0.294539,0.078544,9.955429
0,0.000000,0.000000,0,0.000000,0.000000,-0.333811,0.107998,9.945611
0,0.000000,0.000000,0,0.000000,0.000000,-0.284721,0.088362,9.975065
0,0.000000,0.000000,0,0.000000,0.000000,-0.284721,0.049090,10.004519
0,0.000000,0.000000,0,0.000000,0.000000,-0.294539,0.088362,9.984883
0,0.000000,0.000000,0,0.000000,0.000000,-0.323993,0.127634,9.984883
0,0.000000,0.000000,0,0.000000,0.000000,-0.304357,0.039272,9.935793
0,0.000000,0.000000,0,0.000000,0.000000,-4.565360,-0.078544,8.934360
0,0.000000,0.000000,0,0.000000,0.000000,-6.293324,-0.098180,7.923108
0,0.000000,0.000000,0,0.000000,0.000000,-0.157088,-0.029454,10.544508
0,0.000000,0.000000,0,0.000000,0.000000,-1.943960,-2.218863,8.669274
0,0.000000,0.000000,0,0.000000,0.000000,-0.196360,0.117816,9.965247
